"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"5fbb4f90-58a3-44b6-90b4-01b533fcb77a","Arriano.txt","Trapezunte","char-offset:115","PLACE","http://pleiades.stoa.org/places/857359","Trapezus|Trapezous/Trapezus, Trabzon","-3200/2000","41.005877","39.728451","settlement","VERIFIED","","","",""
"c2b0bc59-e432-4d32-954d-25b40a0012f2","Arriano.txt","Jenofonte","char-offset:161","PERSON","","","","","","","","","","",""
"a778822d-09cf-48e0-a44d-856d34fe4183","Arriano.txt","Jenofonte","char-offset:1658","PERSON","","","","","","","","","","",""
"0a852ad4-82b0-4df3-a479-5feb4c918419","Arriano.txt","Trapezunte","char-offset:2205","PLACE","http://pleiades.stoa.org/places/857359","Trapezus|Trapezous/Trapezus, Trabzon","-3200/2000","41.005877","39.728451","settlement","VERIFIED","","","",""
"92b848cf-84d3-4acc-b877-20436b327969","Arriano.txt","Issos","char-offset:2239","PLACE","http://pleiades.stoa.org/places/857291","Psoron Limen/Hyssos/Sousarmia/Sousourmena/‘Ysiporto’|Psoron Limen/Hyssos/Sousarmia/Sousourmena/‘Ysiporto’, Araklıçarşısı","-0550/0640","40.942435","40.039388","station","VERIFIED","","","",""
"0710cbed-937a-402b-8a70-8a8a8dd5a083","Arriano.txt","Atenas","char-offset:3364","PLACE","http://sws.geonames.org/3624842","Atenas","","9.97489","-84.37886","","UNVERIFIED","","","",""
"bc405d3f-df7c-4456-a69d-a1c197eef29d","Arriano.txt","doscientos cincuenta","char-offset:5393","EVENT","","","","","","","","","","",""
"b7faf2ad-8995-466e-b2f5-a44963c126be","Arriano.txt","Apsaros","char-offset:5420","PLACE","http://pleiades.stoa.org/places/857032","Apsaros/Apsyrtos|Apsaros/Apsyrtos, Gonio","-0330/0640","41.573247","41.573661","settlement","VERIFIED","","","",""
"3609ca9c-faaf-485e-9a23-efec11ddc089","Arriano.txt","Apsaros","char-offset:5762","PLACE","http://pleiades.stoa.org/places/857032","Apsaros/Apsyrtos|Apsaros/Apsyrtos, Gonio","-0330/0640","41.573247","41.573661","settlement","VERIFIED","","","",""
"9dc3afb5-3444-4297-ab6d-627b1c7f3f9f","Arriano.txt","Tyana","char-offset:6039","PLACE","http://pleiades.stoa.org/places/648801","Tyana/Col. Aurelia Antoniniana|Tyana/Col. Aurelia Antoniniana, Kemerhisar","-1450/2000","37.817319","34.568378","settlement","VERIFIED","","","",""
