"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"36d2767b-21df-46bf-9923-5e1b64e037d9","Mela.txt","Hellespontus","char-offset:2430","PLACE","http://pleiades.stoa.org/places/981526","Hellespontus","","40.346685","26.699162","province","VERIFIED","","","",""
"aea5fff6-b9bb-49a1-8a3b-f5eb7a53f912","Mela.txt","Propontis","char-offset:2452","PLACE","http://pleiades.stoa.org/places/511381","Propontis","-0550/2100","40.6666672","28.2499999","water-open","VERIFIED","","","",""
"ea92cdea-8f84-4b33-a109-a5425b720dcb","Mela.txt","Thracius Bosphorus","char-offset:2495","PLACE","http://pleiades.stoa.org/places/514912","Murus Anastasii/Makron Teichos|Murus Anastasii/Makron Teichos, Anastasian Wall","0300/0640","41.293572","28.328578","wall-2,fort","VERIFIED","","","",""
"a752bb35-2a00-4486-b040-3a07a1bbf9f6","Mela.txt","Pontus Euxinus,","char-offset:2534","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","","","",""
"bc3a61f9-87cf-4a83-8805-94118bbd9990","Mela.txt","Cimmerius","char-offset:2573","PLACE","http://pleiades.stoa.org/places/854675","Cimmerius Bosp(h)orus","-0550/0640","45.35","36.65","water-open","VERIFIED","","","",""
"1399b3cc-0560-40de-b0e2-80d677d77958","Mela.txt","Maeotis","char-offset:2605","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","","","",""
"828e329d-7db2-40c4-94b7-fcb5a7b5b4c1","Mela.txt","Tanai","char-offset:2655","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"812934f9-1a8b-4b3c-a917-e4b1ba4f5b31","Mela.txt","Tanais","char-offset:2708","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"57289648-333e-4978-9e56-1b755ac25a6c","Mela.txt","Maeotida","char-offset:2765","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","","","",""
"d241ef92-dd67-4f78-be78-6a80176b6915","Mela.txt","Nilus","char-offset:2797","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"c29e5fbc-c0b9-4429-880f-dad4c97731be","Mela.txt","Africam","char-offset:2874","PLACE","http://pleiades.stoa.org/places/334546","Fossatum Africae","-0030/0640","35.0","6.5","frontier-system-limes","VERIFIED","","","",""
"80fed441-6a64-4aa6-aa04-12db7a126b9c","Mela.txt","Nilum","char-offset:2913","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"efbf0b50-6af5-465d-a170-a0544332ad9f","Mela.txt","Tanain","char-offset:2931","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"a83593bc-7467-4074-9df7-04ad38a8480f","Mela.txt","Indicum","char-offset:3330","PLACE","http://pleiades.stoa.org/places/39352","Indicum Mare","-0030/0300","-20.0","80.0","water-open","UNVERIFIED","","","",""
"92ab6aa3-eb34-4370-b9cf-b7f190ab576b","Mela.txt","Arabicum mare","char-offset:3347","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","","","",""
"9ffa6e1b-5c7f-46c7-83af-97203548c213","Mela.txt","Persicum","char-offset:3364","PLACE","http://pleiades.stoa.org/places/29713","Persicus Sinus/Erythr(ae)um Mare","-0750/2100","27.0000001","50.9999999","water-open","VERIFIED","","","",""
"aa2aa618-b209-4473-a2a9-2c57660bd308","Mela.txt","Scythico Caspium","char-offset:3377","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","","","",""
"893bf3f5-b199-4082-bca8-ea272fcc5a56","Mela.txt","Nilum","char-offset:3613","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"10f49371-4cd6-454c-9e3f-0c38fce5fca8","Mela.txt","Tanain","char-offset:3630","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"4ab79932-28e8-4332-9bab-7e5dd66bea6e","Mela.txt","Nili","char-offset:3662","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"8fefcaa2-521f-4445-8c53-35eea63bbc4f","Mela.txt","Hellesponticum","char-offset:3844","PLACE","http://pleiades.stoa.org/places/550878","Sigeion Pr.|Sigeion Pr./Sigeias akra, Kumkale","","40.00867","26.19813","cape","VERIFIED","","","",""
"18107d91-d2ff-43b1-9b89-e7a414344ad0","Mela.txt","Bosphorum","char-offset:3900","PLACE","http://pleiades.stoa.org/places/520977","Bosphorus","-0550/0640","41.119444","29.075278","water-open","VERIFIED","","","",""
"0d9ef510-7197-4e56-b2f7-c13fef7bc027","Mela.txt","B","char-offset:3900","PLACE","http://pleiades.stoa.org/places/315116","Praedia B(...)|Praedia B(...), Praedia B(...)","-0030/0300","36.498234","9.330338","villa","UNVERIFIED","","","",""
"45d1bdd0-c7c6-4f9c-852f-d58e1057f156","Mela.txt","Ponticum","char-offset:3931","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","","","",""
"dd2a8fd5-7c9e-450e-8a5a-dc37e04f4c17","Mela.txt","Tanain","char-offset:4015","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"25894532-f8be-46da-b013-897ac403b30c","Mela.txt","Tanais","char-offset:4050","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"1c2ccee6-98fe-450b-9315-018f6ef3736d","Mela.txt","Indos","char-offset:4109","PLACE","http://pleiades.stoa.org/places/59849","Indoi","-0550/-0330","27.5","67.5","people","VERIFIED","","","",""
"2d7c8a2b-ec89-425b-96c4-833676b4c425","Mela.txt","Seras","char-offset:4118","PLACE","","","","","","","UNVERIFIED","","","",""
"4e1e44cf-20fd-4f36-999b-80f9004cf35e","Mela.txt","Scythas","char-offset:4127","PLACE","http://pleiades.stoa.org/places/1273","Scythia","-0750/0640","47.5","27.5","region","VERIFIED","","","",""
"f9e19e74-39f1-48f4-aeb3-b5d9bff97ffa","Mela.txt","Eoae","char-offset:4154","PLACE","http://pleiades.stoa.org/places/50639","Eoae","0300/0640","","","people","VERIFIED","","","",""
"5b7ea97f-f7a9-4a81-ab38-d219112ca0a6","Mela.txt","Scythae","char-offset:4184","PLACE","http://pleiades.stoa.org/places/60676","Scythae/Sagae/Sacae","-0550/0640","","","unlocated","UNVERIFIED","","","",""
"05b3da65-6dc8-4d8a-bdfe-a0493e65d6f0","Mela.txt","Indici maris","char-offset:4298","PLACE","","","","","","","UNVERIFIED","","","",""
"8457a85c-287d-4538-a4cc-97fedaa02cd5","Mela.txt","Caspium","char-offset:4483","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","","","",""
"5cf6124c-d24e-4c41-9ee0-089326a8f543","Mela.txt","Ariane","char-offset:4531","PLACE","http://pleiades.stoa.org/places/59700","Ariake/Larike","-0030/0300","22.5","72.5","unknown","VERIFIED","","","",""
"a8bc8add-4ef7-4d63-b9d5-f109a4f1113a","Mela.txt","Aria","char-offset:4546","PLACE","http://pleiades.stoa.org/places/961881","Ar(e)ia","-0550/0640","34.5","61.5","region,satrapy","VERIFIED","","","",""
"281d2c5f-0d82-421c-a285-9cc1d5402172","Mela.txt","Cedrosis","char-offset:4554","PLACE","http://pleiades.stoa.org/places/29573","Gedrosia","-0550/0640","27.5","62.5","region","VERIFIED","","","",""
"d32b3e9e-6cca-4b56-a21c-471da9fb6420","Mela.txt","Persis","char-offset:4566","PLACE","http://pleiades.stoa.org/places/922698","Persis/Pars","-0550/0640","30.5","51.5","unknown","VERIFIED","","","",""
"7a617a8d-a31e-4593-bfd2-219e080b21ba","Mela.txt","sinum Persicum","char-offset:4576","PLACE","http://pleiades.stoa.org/places/29713","Persicus Sinus/Erythr(ae)um Mare","-0750/2100","27.0000001","50.9999999","water-open","VERIFIED","","","",""
"b02cbd9c-b5eb-4c97-a702-a3b990d5d4c8","Mela.txt","Arabes","char-offset:4636","PLACE","http://pleiades.stoa.org/places/29475","Arabia","-0720/0640","27.5","42.5","region","VERIFIED","","","",""
"17066a58-db42-4668-a239-80da78bca702","Mela.txt","Africam","char-offset:4659","PLACE","http://pleiades.stoa.org/places/334546","Fossatum Africae","-0030/0640","35.0","6.5","frontier-system-limes","VERIFIED","","","",""
"398353c9-d2ae-452e-8bf4-419ba1250946","Mela.txt","Aethiopum","char-offset:4674","PLACE","http://pleiades.stoa.org/places/39274","Aethiopia","","14.125005","38.721522","unknown","VERIFIED","","","",""
"e50d8371-1cc5-435b-bf2c-1078d6e85f6d","Mela.txt","Caspiani Scythis","char-offset:4695","PLACE","http://pleiades.stoa.org/places/863825","Kaspiai Pylai/Albaniai Pylai","-0330/0300","42.05778135","48.29670240000001","pass","VERIFIED","","","",""
"d3973459-924d-45ac-800b-206eb4fc24d9","Mela.txt","Caspium","char-offset:4726","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","","","",""
"0cc47aef-354d-4eb2-a8a7-c2988812d2a0","Mela.txt","Amazones","char-offset:4749","PLACE","","","","","","","UNVERIFIED","","","",""
