"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"7ee95182-e687-4058-acdd-c8f7d5032f19","Dyonisius Periegetes.txt","Dionysius of Alexandria","char-offset:0","PERSON","","","","","","","","","","",""
"fc15ff4d-5565-4e86-8928-3ba7edf658ef","Dyonisius Periegetes.txt","Libya","char-offset:422","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"0fa8511c-de58-4085-bbae-586e883abbb1","Dyonisius Periegetes.txt","Asia","char-offset:444","PLACE","http://pleiades.stoa.org/places/599527","*Asia","-0750/-0550","38.25","27.25","labeled feature","VERIFIED","","","",""
"aaa3f9fc-dcfa-40c4-b01e-00fbda620bc7","Dyonisius Periegetes.txt","Libya","char-offset:464","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"8c9fbbd8-d9c6-439f-96e5-6c130b3a4144","Dyonisius Periegetes.txt","Gades","char-offset:516","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","","","",""
"70c21503-dfbc-43e2-85ba-4740fb47d239","Dyonisius Periegetes.txt","Nilus’ mouth","char-offset:526","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"0a95f17b-dfcf-45f8-8348-f361076f5997","Dyonisius Periegetes.txt","Egypt","char-offset:546","PLACE","http://pleiades.stoa.org/places/766","Aegyptus (Roman imperial province)","-0030/2100","","","province","VERIFIED","","","",""
"034ea0a1-cf69-4dfc-800b-d8fdbc36b746","Dyonisius Periegetes.txt","Canobus","char-offset:610","PLACE","http://geo-kima.org/place/21295","Canopus (Egypt)","","","","","VERIFIED","","","",""
"f9ce0568-a16d-4c97-a980-532cd1bd2b81","Dyonisius Periegetes.txt","Asia","char-offset:642","PLACE","http://pleiades.stoa.org/places/599527","*Asia","-0750/-0550","38.25","27.25","labeled feature","VERIFIED","","","",""
"4c7c83bd-5206-44e1-ad8a-639578f8b18c","Dyonisius Periegetes.txt","Tanais","char-offset:647","PLACE","http://pleiades.stoa.org/places/825398","Tanais (river)","","47.5437096","40.7291755","river","VERIFIED","","","",""
"4ccf47a1-e544-49c0-8bff-e1cff99404d6","Dyonisius Periegetes.txt","Sauromatian land","char-offset:703","PLACE","http://pleiades.stoa.org/places/825371","Sarmatia","-0550/0640","45.5","39.5","unknown","VERIFIED","","","",""
"ba5f78ab-67a2-4c75-a235-36179edaea1f","Dyonisius Periegetes.txt","Scythia","char-offset:733","PLACE","http://pleiades.stoa.org/places/1273","Scythia","-0750/0640","47.5","27.5","region","VERIFIED","","","",""
"05478d0c-a065-4733-9ee9-dd4453bfca79","Dyonisius Periegetes.txt","Maeotian Lake","char-offset:749","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","","","",""
"48c40d48-d9a9-413b-a5cb-001ee24b8481","Dyonisius Periegetes.txt","Hellespont’s","char-offset:779","PLACE","http://pleiades.stoa.org/places/501434","Hellespontus","","40.2","26.4","water-open","VERIFIED","","","",""
"91bc9d50-9451-4e40-8bca-a4c03bf4025d","Dyonisius Periegetes.txt","Nilus","char-offset:843","PLACE","http://pleiades.stoa.org/places/727172","Nilus (river)","-6000/2100","19.211408766666665","30.567329633333333","river","VERIFIED","","","",""
"26d8c369-0ecc-43c8-a438-d23503a48839","Dyonisius Periegetes.txt","Caspian","char-offset:965","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","","","",""
"7173a564-2e0d-4829-8482-093690a3b9dd","Dyonisius Periegetes.txt","Euxine Sea","char-offset:981","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","","","",""
"7f34352f-9a0e-4328-bfe0-df8e21dec9c3","Dyonisius Periegetes.txt","Egypt","char-offset:1086","PLACE","http://pleiades.stoa.org/places/766","Aegyptus (Roman imperial province)","-0030/2100","","","province","VERIFIED","","","",""
"b5ea055f-8461-42ed-bd59-8d8fc2fa238e","Dyonisius Periegetes.txt","Arabian Gulf","char-offset:1101","PLACE","http://pleiades.stoa.org/places/29713","Persicus Sinus/Erythr(ae)um Mare","-0750/2100","27.0000001","50.9999999","water-open","VERIFIED","","","",""
"20634492-cd3c-4284-bc38-151cb4a4720c","Dyonisius Periegetes.txt","Libya","char-offset:1133","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"6d1d9c19-ceeb-49db-b2db-4710f32762fb","Dyonisius Periegetes.txt","Locrian Zephyrus","char-offset:1315","PLACE","http://pleiades.stoa.org/places/540919","Locris Ozolia","","38.25","21.75","unknown","VERIFIED","","","",""
"f218d927-f508-4c9e-8059-6880faa87864","Dyonisius Periegetes.txt","warlike","char-offset:1389","","","","","","","","","Warlike","","",""
"083bc049-8526-4d63-a06f-edbdf826fd53","Dyonisius Periegetes.txt","Arimaspi’s","char-offset:1397","PERSON","","","","","","","","","","",""
"76074445-ba24-4928-bcac-fde1a62b210d","Dyonisius Periegetes.txt","Indian Sea","char-offset:1671","PLACE","http://pleiades.stoa.org/places/39290","Arabicus Sinus/Erythr(ae)um/Rubrum Mare","-0030/2100","19.0","39.5","water-open","VERIFIED","","","",""
"e6174b36-0812-43d6-8583-381da24e7829","Dyonisius Periegetes.txt","Red","char-offset:1694","PLACE","http://geo-kima.org/place/2036","Red Sea","","","","","VERIFIED","","","",""
"9703533e-6f95-4f65-a3da-9b39bbf2aef8","Dyonisius Periegetes.txt","desert land Extends","char-offset:1754","","","","","","","","","Desert","","",""
"3924591e-fa3c-460c-9d5d-33552d96f73b","Dyonisius Periegetes.txt","Libya","char-offset:2060","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"76b6d927-e7b0-44e2-a47f-5ecf45df4610","Dyonisius Periegetes.txt","Pamphylian","char-offset:2073","PLACE","http://pleiades.stoa.org/places/639034","Pamphylia","","36.990721","30.98638","region","VERIFIED","","","",""
"0594b589-0dff-4f89-a827-a5a38137a124","Dyonisius Periegetes.txt","Caspian","char-offset:2216","PLACE","http://pleiades.stoa.org/places/884130","Caspium/Hyrcanium Mare","-0550/0640","42.6759567125","49.98680535","lake,water-open","VERIFIED","","","",""
"a49a30e9-ff9e-45be-ab09-1f9f5a64414e","Dyonisius Periegetes.txt","Hyrcanian.","char-offset:2261","PLACE","http://pleiades.stoa.org/places/942333","Varkana/Hyrcania/Gurgan","-0330/-0030","37.1","56.3","region","VERIFIED","","","",""
"899400cf-51d6-4974-9ae3-9dac0830f2e1","Dyonisius Periegetes.txt","Persian Gulf","char-offset:2350","PLACE","http://pleiades.stoa.org/places/29713","Persicus Sinus/Erythr(ae)um Mare","-0750/2100","27.0000001","50.9999999","water-open","VERIFIED","","","",""
"ea648449-ea72-4cde-ae30-44e666f9fe05","Dyonisius Periegetes.txt","Euxine Sea","char-offset:2480","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","","","",""
"c6078c57-63d7-483c-971b-697cd10da942","Dyonisius Periegetes.txt","Heracles’ pillars","char-offset:2852","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","","",""
"d748b5b7-482c-454a-98f4-82ecdea253ff","Dyonisius Periegetes.txt","Gadir","char-offset:2930","PLACE","http://pleiades.stoa.org/places/256177","Gadeira/Gades/Col. Augusta Gaditana|Gades/Gadeira/Col. Augusta Gaditana, Cádiz","-0750/2100","36.528381","-6.294444","arch,theatre,townhouse,settlement","VERIFIED","","","",""
"72cefde7-4043-4513-a7d2-09d8f269157a","Dyonisius Periegetes.txt","Iberian Sea","char-offset:3087","PLACE","http://pleiades.stoa.org/places/265818","Baliaricum Mare","-0330/0640","40.0","1.5","water-open","VERIFIED","","","",""
"e6eac11c-c581-457d-8c7b-184ff0610aed","Dyonisius Periegetes.txt","Libya","char-offset:3143","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"3783a6f0-0572-45f3-aa19-126f02e961d3","Dyonisius Periegetes.txt","Pillars","char-offset:3178","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","","","",""
"7caec6ad-dc07-49c9-88f6-4a85b63b6fbc","Dyonisius Periegetes.txt","Libya","char-offset:3248","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"f256f3a3-4c9a-49a4-82b9-dcfdb10feda8","Dyonisius Periegetes.txt","Marseille","char-offset:3284","PLACE","http://pleiades.stoa.org/places/148127","Massalia/Massilia|Massalia/Massilia, Marseille|Marseille","-0750/2100","43.299467","5.365307","settlement","VERIFIED","","","",""
"393ebb02-daa1-4ee4-ae41-2e38d1de0a42","Dyonisius Periegetes.txt","Ligurian","char-offset:3370","PLACE","http://pleiades.stoa.org/places/157878","Ligusticum Mare","","43.5000002","8.9999997","water-open","VERIFIED","","","",""
"f815df50-0293-48a3-8ea3-a2af97de4bbe","Dyonisius Periegetes.txt","Ausonians","char-offset:3448","PLACE","http://sws.geonames.org/3182665","Ausonia","","41.35808","13.74983","","VERIFIED","","","",""
"f681041d-a0e8-472a-9e5c-2d813edff8fb","Dyonisius Periegetes.txt","Leuce","char-offset:3505","PLACE","http://pleiades.stoa.org/places/442632","Leuca/Portus Sallentinus|Leuca/Portus Sallentinus, Santa Maria di Leuca, Castrignano del Capo|Leuca","-0750/0640","39.801","18.356944","settlement,port","VERIFIED","","","",""
"6ed0c333-73ee-4bfa-81d1-21e5ee4419cf","Dyonisius Periegetes.txt","Sicilian strait","char-offset:3541","PLACE","http://sws.geonames.org/2524170","Messina","","38.19394","15.55256","","VERIFIED","","","",""
"4069c74b-4e12-4cd9-a28f-40d9d2757bf8","Dyonisius Periegetes.txt","Corsica","char-offset:3590","PLACE","http://sws.geonames.org/3023519","Corsica","","","","","VERIFIED","","","",""
"1ef73140-f5b9-452b-85f0-b93e16063f44","Dyonisius Periegetes.txt","Tyrrhenian Sea","char-offset:3677","PLACE","http://pleiades.stoa.org/places/1356","Tyrrhenum/Inferum Mare","-0330/0640","41.66419815387763","12.054731855280693","water-open","VERIFIED","","","",""
"70931edd-0500-4834-82bb-3eed328077f9","Dyonisius Periegetes.txt","Sicilian","char-offset:3749","PLACE","http://geo-kima.org/place/6284","Sicily (Italy)","","","","","VERIFIED","","","",""
"10d7a861-9348-44f1-a226-3a0116b8d63c","Dyonisius Periegetes.txt","Pachynos","char-offset:3817","PLACE","http://pleiades.stoa.org/places/462404","Pachynos (river)","0300/0640","36.75","15.25","river","VERIFIED","","","",""
"4cc19192-025c-4a5f-89cc-bcac2cda8d6c","Dyonisius Periegetes.txt","Cretan Cape","char-offset:3841","PLACE","http://pleiades.stoa.org/places/462214","Bitalemi|Gela|Gela, Gela|Bitalemi, Gela","-0750/2100","37.062775","14.258433","sanctuary,settlement","VERIFIED","","","",""
"d45bd93e-f800-4f9e-a8f7-7bde8e986923","Dyonisius Periegetes.txt","Gortyn","char-offset:3889","PLACE","http://pleiades.stoa.org/places/589796","Gortyn(a)|Gortyna/Gortyn, Gortyn/Agi Deka","-0750/0640","35.0627201667","24.9469437222","urban,architecturalcomplex,theatre,church,settlement","VERIFIED","","","",""
"2b4ce1b1-ec32-48b8-a368-6eb0bf745114","Dyonisius Periegetes.txt","Phaestus","char-offset:3900","PLACE","http://pleiades.stoa.org/places/589987","Phaistos|Phaistos, Agios Ioanis","-1600/0640","35.05138","24.8143","settlement,architecturalcomplex","VERIFIED","","","",""
"c67f2772-0d7e-49e1-a8d1-99470510c567","Dyonisius Periegetes.txt","Iapygian","char-offset:4045","PLACE","http://pleiades.stoa.org/places/442502","Basta|Basta, Vaste, Poggiardo","-0330/2100","40.047756","18.388132","settlement","VERIFIED","","","",""
"94ccebe7-2a60-4012-be91-69ddae662075","Dyonisius Periegetes.txt","Adriatic Se","char-offset:4064","PLACE","http://geo-kima.org/place/1578","Adriatic Sea","","","","","VERIFIED","","","",""
"adf48729-6ee1-476e-8cc1-4f4e8ebdb1d6","Dyonisius Periegetes.txt","Ionian","char-offset:4173","PLACE","http://pleiades.stoa.org/places/1046","Ionium Mare","-0750/0640","39.03244647555555","19.674861075555555","water-open","VERIFIED","","","",""
"2b599760-a3d9-4c66-8172-f1d97cae1f83","Dyonisius Periegetes.txt","Illyria","char-offset:4233","PLACE","http://geo-kima.org/place/3917","Illyria","","","","","VERIFIED","","","",""
"5a88366c-3b14-4be2-ab86-76366a3d5f0a","Dyonisius Periegetes.txt","Dalmatia","char-offset:4266","PLACE","http://pleiades.stoa.org/places/197240","Dalmatia","","43.53927436666667","16.482402866666668","region","VERIFIED","","","",""
"d731acb2-74df-442a-b37b-33c4060e27d5","Dyonisius Periegetes.txt","Sicilian","char-offset:4558","PLACE","http://geo-kima.org/place/6284","Sicily (Italy)","","","","","VERIFIED","","","",""
"855c0224-dc2a-46d6-b12a-662cf260d96b","Dyonisius Periegetes.txt","Libya","char-offset:4613","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","","","",""
"9a971046-03b5-41b2-a9c7-32a4adf76a7c","Dyonisius Periegetes.txt","Syrtis","char-offset:4648","PLACE","http://pleiades.stoa.org/places/344491","Syrtis Maior","","31.5","18.0","water-open","VERIFIED","","","",""
"12c64c40-ee98-4bf7-a839-d1a162d33479","Dyonisius Periegetes.txt","Sicily","char-offset:4821","PLACE","http://pleiades.stoa.org/places/462492","Sicilia (island)","-0750/2100","37.53667611952188","14.08648464579389","island","VERIFIED","","","",""
"8e914251-4c9e-4528-9a0b-0a68e512e3cf","Dyonisius Periegetes.txt","Salmonian Cape","char-offset:4886","PLACE","http://pleiades.stoa.org/places/590037","Sam(m)onion Pr.|Sammonion Pr./Samonion Pr., Cape Sideros","-0330/0300","35.315","26.312","cape","VERIFIED","","","",""
"6e8b1292-0046-41fd-9a7b-694ae0dc98fc","Dyonisius Periegetes.txt","Issus","char-offset:5208","PLACE","http://pleiades.stoa.org/places/658490","Issus/Nikopolis|Issus/Nikopolis, Kinet Höyük","-0550/0640","36.85367","36.15704","settlement","VERIFIED","","","",""
"3656c294-969c-4a82-a167-d9dded4fcb71","Dyonisius Periegetes.txt","Cilicia","char-offset:5229","PLACE","http://pleiades.stoa.org/places/628957","Cilicia","-0330/0300","38.25","35.75","unknown","VERIFIED","","","",""
"39b36db9-cda7-4415-bcad-281b544a3a77","Dyonisius Periegetes.txt","Issus","char-offset:5253","PLACE","http://pleiades.stoa.org/places/658490","Issus/Nikopolis|Issus/Nikopolis, Kinet Höyük","-0550/0640","36.85367","36.15704","settlement","VERIFIED","","","",""
"ade93382-cbc6-4a02-8b46-a582d0135d3a","Dyonisius Periegetes.txt","Cilicia","char-offset:5350","PLACE","http://pleiades.stoa.org/places/628957","Cilicia","-0330/0300","38.25","35.75","unknown","VERIFIED","","","",""
"a99b5cf9-fdb0-4cc6-83c9-e6b840421123","Dyonisius Periegetes.txt","Pamphylians","char-offset:5637","PLACE","http://pleiades.stoa.org/places/639034","Pamphylia","","36.990721","30.98638","region","VERIFIED","","","",""
"46c99f01-0e3f-4a4f-b732-2bdb63139686","Dyonisius Periegetes.txt","Chelidonian isles","char-offset:5684","PLACE","http://pleiades.stoa.org/places/638799","Chelidoniae (islands)|Chelidoniae Inss., Beş Adalar","-0550/0640","36.19053","30.40531","archipelago","VERIFIED","","","",""
"e93de290-b0d1-449a-b13b-13a08948bc2a","Dyonisius Periegetes.txt","Patarean","char-offset:5707","PLACE","http://dare.ht.lu.se/places/43027","Church, Patara","","36.2673939","29.3179944","","VERIFIED","","","",""
"bbaeb44a-051d-43b3-9fe6-bf90092ad022","Dyonisius Periegetes.txt","Aegean Sea","char-offset:5798","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","","","",""
